question_id,knowledge_node_id,text,options,correct_answer,difficulty,p_s
2d5d8e7e-0c7f-4b8e-8a1a-3d7f1b9e6c4a,kp_kinematics,SAMPLE for 'Kinematics': [Your question text here],"[""Option A"", ""Option B"", ""Option C"", ""Option D""]",0,medium,0.1
f4a1b0c8-3e5d-4f1a-8b9d-2c7e1a0b5d9c,kp_kinematics,SAMPLE for 'Kinematics': [Your question text here],"[""Option A"", ""Option B"", ""Option C"", ""Option D""]",0,medium,0.1
a1b2c3d4-4e5f-4a6b-8c7d-8e9f0a1b2c3d,kp_kinematics,SAMPLE for 'Kinematics': [Your question text here],"[""Option A"", ""Option B"", ""Option C"", ""Option D""]",0,medium,0.1
b2c3d4e5-5f6a-4b7c-8d8e-9f0a1b2c3d4e,kp_kinematics,SAMPLE for 'Kinematics': [Your question text here],"[""Option A"", ""Option B"", ""Option C"", ""Option D""]",0,medium,0.1
c3d4e5f6-6a7b-4c8d-8e9f-0a1b2c3d4e5f,kp_kinematics,SAMPLE for 'Kinematics': [Your question text here],"[""Option A"", ""Option B"", ""Option C"", ""Option D""]",0,medium,0.1
d4e5f6a7-7b8c-4d9e-8f0a-1b2c3d4e5f6a,kp_scalar,SAMPLE for 'Scalar Quantity': [Your question text here],"[""Option A"", ""Option B"", ""Option C"", ""Option D""]",0,medium,0.1
e5f6a7b8-8c9d-4e0f-8a1b-2c3d4e5f6a7b,kp_scalar,SAMPLE for 'Scalar Quantity': [Your question text here],"[""Option A"", ""Option B"", ""Option C"", ""Option D""]",0,medium,0.1
f6a7b8c9-9d0e-4f1a-8b2c-3d4e5f6a7b8c,kp_scalar,SAMPLE for 'Scalar Quantity': [Your question text here],"[""Option A"", ""Option B"", ""Option C"", ""Option D""]",0,medium,0.1
a7b8c9d0-0e1f-4a2b-8c3d-4e5f6a7b8c9d,kp_scalar,SAMPLE for 'Scalar Quantity': [Your question text here],"[""Option A"", ""Option B"", ""Option C"", ""Option D""]",0,medium,0.1
b8c9d0e1-1f2a-4b3c-8d4e-5f6a7b8c9d0e,kp_scalar,SAMPLE for 'Scalar Quantity': [Your question text here],"[""Option A"", ""Option B"", ""Option C"", ""Option D""]",0,medium,0.1
c9d0e1f2-2a3b-4c4d-8e5f-6a7b8c9d0e1f,kp_base_unit,SAMPLE for 'Base Unit': [Your question text here],"[""Option A"", ""Option B"", ""Option C"", ""Option D""]",0,medium,0.1
d0e1f2a3-3b4c-4d5e-8f6a-7b8c9d0e1f2a,kp_base_unit,SAMPLE for 'Base Unit': [Your question text here],"[""Option A"", ""Option B"", ""Option C"", ""Option D""]",0,medium,0.1
